id,unit,n,template_mean,mediapipe_mean,mean_difference,sd_of_difference,loa_low,loa_high,mean_difference_pct,loa_width_over_between_subject_sd,pearson_r
lower_third_height,mm,102,70.23812910938678,63.867443195356906,-6.370685914029892,3.6450380882819506,-13.514960567062515,0.7735887390027312,-0.09070124724006208,2.0898978674448254,0.859284715959873
palpebral_fissure_width_l,mm,102,26.903959534108342,25.837917249281766,-1.0660422848265825,1.555960882530421,-4.115725614586207,1.9836410449330424,-0.039623992277979525,3.6635099417129258,0.3625798506631698
palpebral_fissure_height_l,mm,102,9.964026722595111,8.90594274599318,-1.0580839766019308,0.8739627301888064,-2.7710509277719915,0.6548829745681297,-0.10619039932947459,2.90196031037154,0.675635426014419
canthal_tilt_l,deg,102,3.597841565215126,3.853561085794666,0.25571952057953906,1.9534424993922552,-3.573027778229281,4.084466819388359,0.07107581474734806,2.9951693752337283,0.657073105629458
eye_aspect_ratio_l,ratio,102,0.3703523632513314,0.3447073272168053,-0.025645036034525944,0.02355255775228079,-0.07180804922899629,0.020517977159944408,-0.06924496392945252,2.48559644475974,0.7814894893535504
palpebral_fissure_width_r,mm,102,26.87513571513428,25.766620806540594,-1.108514908593686,1.583023201493575,-4.211240383521093,1.994210566333721,-0.0412468580751927,3.928919653867325,0.21506757773736254
palpebral_fissure_height_r,mm,102,9.909418715577878,9.036848206796222,-0.872570508781658,0.8677861885167306,-2.57343143827445,0.8282904207111339,-0.08805466131024953,2.9688665372141196,0.6584336959136183
canthal_tilt_r,deg,102,3.7483211298549253,3.3721519542102567,-0.3761691756446699,1.7394077065170226,-3.785408280418034,3.033069929128694,-0.10035670974093651,2.550675468772887,0.7596615168637211
eye_aspect_ratio_r,ratio,102,0.3691717306671593,0.3508649365235673,-0.01830679414359203,0.027459741486560316,-0.07212788745725024,0.03551429917006619,-0.049588829866545794,2.653776687724684,0.7409281907648245
intercanthal_biocular_ratio,ratio,102,0.3867467693952713,0.373753352939125,-0.0129934164561462,0.016227554286896987,-0.04479942285846429,0.018812589946171895,-0.033596703280710245,2.61358555519889,0.7475816671137465
nose_mouth_width_ratio,ratio,102,0.726572953451916,0.7053506669521169,-0.02122228649979888,0.04444377598367062,-0.1083320874277933,0.06588751442819554,-0.029208748273621712,3.208369342891409,0.5805061864775499
eye_spacing_ratio,ratio,102,0.9372183454674592,0.931598189483956,-0.005620155983503121,0.05497645373137207,-0.11337400529699238,0.10213369332998612,-0.005996634627014198,2.4289516557884565,0.7878517691824694
facial_thirds_ratio,ratio,102,0.7970863472705962,0.958545753079408,0.16145940580881166,0.035944498555444945,0.09100818864013957,0.23191062297748374,0.2025620014214083,1.3843088344759409,0.9385183918232686
lip_vermilion_ratio,ratio,102,0.6624350184110432,0.7047770689398313,0.04234205052878774,0.11292298203008742,-0.1789869942501836,0.26367109530775906,0.06391879860209074,3.012894055362892,0.6410245123942242
facial_width_height_ratio,ratio,102,1.7190597469254745,1.7493867328979864,0.030326985972512075,0.09627153972823183,-0.1583652318948223,0.21901920383984644,0.01764161253077542,2.521296427990639,0.7672607859045731
jaw_cheekbone_ratio,ratio,102,0.9026228282536636,0.7955623680292623,-0.10706046022440109,0.07203895213176317,-0.2482568064026569,0.034135885953854736,-0.11861040611119349,3.5510747112662084,0.4757085832043721
ocular_height_asymmetry,deg,102,0.4169107306956892,0.13361639249829893,-0.28329433819739025,0.3202457003530211,-0.9109759108893115,0.344387234494531,-0.6795083871424072,4.013020369519188,0.07839027485818167
mouth_corner_asymmetry,deg,102,1.3593122942229927,1.0627383064417435,-0.29657398778124905,0.6426120854674846,-1.5560936752975187,0.9629456997350208,-0.2181794345873816,2.6355842585968996,0.7553575597783871
canthal_tilt_asymmetry,deg,102,1.7722143042184297,0.6422733565128967,-1.1299409477055338,1.2635015759933013,-3.606404036652404,1.3465221412413368,-0.6375870824515508,3.9843402366065916,0.14162546034454893
brow_apex_lateral_offset_l,ratio,102,-0.5214115643967205,-0.06064330167802272,0.46076826271869775,0.10087588904300074,0.2630515201944163,0.6584850052429791,0.8836939841405554,3.9371026592208493,0.208340451294163
margin_reflex_distance_1_l,mm,102,3.9886874709136664,3.7996408402494195,-0.18904663066424746,0.6692639628898556,-1.5008039979283645,1.1227107365998694,-0.04739569897185843,3.162780003075385,0.597345373942525
margin_reflex_distance_2_l,mm,102,5.956788461168349,5.026280659588289,-0.9305078015800615,0.5651174456058468,-2.038137994967521,0.1771223918073982,-0.1562096434422575,3.2495001329071997,0.5643858886016606
medial_canthal_angle_l,deg,102,36.938599806954336,31.495051521554604,-5.4435482853997295,2.786232515517176,-10.904564015813396,0.017467445013935823,-0.14736747775628697,2.806769830740794,0.7009080089793724
brow_apex_lateral_offset_r,ratio,102,-0.4979788861798547,-0.04467897078828557,0.45329991539156905,0.1066612807633293,0.24424380509544363,0.6623560256876945,0.9102793872827994,3.7531422657358617,0.3078568856537293
margin_reflex_distance_1_r,mm,102,3.9104580532317557,3.7820837026114615,-0.1283743506202955,0.6731516870831619,-1.4477516573032927,1.1910029560627018,-0.032828468908956056,3.2013532843059864,0.5832640186486238
margin_reflex_distance_2_r,mm,102,5.981606480792258,5.162501416520525,-0.8191050642717325,0.6519218075717337,-2.0968718071123305,0.4586616785688654,-0.13693730386677708,3.5404661631637855,0.4506895254978314
medial_canthal_angle_r,deg,102,36.63591910422135,31.949442837099276,-4.686476267122071,3.103394797397974,-10.7691300700221,1.3961775357779578,-0.1279202591803429,2.788235171861663,0.7047750245225847
upper_vermilion_height,mm,102,6.851387728568032,6.746697152960572,-0.10469057560745891,0.9306471752893739,-1.9287590391746319,1.719377887959714,-0.015280200122222492,1.8675091319752455,0.8802001378471219
lower_vermilion_height,mm,102,10.487132656288445,9.60839028742554,-0.8787423688629035,1.2511087224352366,-3.330915464835967,1.5734307271101604,-0.08379243380086161,2.023388308142304,0.8625459363474036
cupids_bow_peak_height_l,mm,102,1.50954052189606,1.4239153002442226,-0.0856252216518376,0.5976909383463154,-1.2570994608106156,1.0858490175069404,-0.05672270496209532,3.670030051976328,0.3523123593541815
cupids_bow_peak_height_r,mm,102,1.5372555579695921,1.3954608630867693,-0.1417946948828223,0.5298361985393689,-1.1802736440199855,0.8966842542543408,-0.09223885654386886,3.339345999369523,0.5695490868904632
commissure_height_l,ratio,102,-0.021969865388992985,-0.02237175528788154,-0.0004018898988885523,0.014833357054549372,-0.02947526972580532,0.028671489928028215,-0.01829277930350457,1.5121755427584387,0.9229151613251497
commissure_height_r,ratio,102,-0.03233954853624469,-0.026419227060881133,0.005920321475363555,0.016116798857802057,-0.02566860428592848,0.037509247236655587,0.18306753629316527,1.5439063493901461,0.9212534193520012
nasal_dorsal_deviation,deg,102,1.6232934683821496,1.244613669114095,-0.3786797992680545,1.097239550819903,-2.5292693188750643,1.7719097203389556,-0.23327870569544307,3.500687811696037,0.4998083225587788
alar_base_intercanthal_ratio,ratio,102,0.7435474708092328,1.081278916760384,0.3377314459511512,0.09218303179465819,0.15705270363362114,0.5184101882686812,0.45421638726520636,3.298473617913983,0.5612387122016045
