condition,id,unit,yaw10,pitch10,roll10,all_three_10,reaches_kleinberg_floor_8pct
persp_1.0m,interpupillary_distance,mm,0.015195283454346472,0.005421307773808525,1.1214373986112693e-16,0.003155259958714964,False
persp_1.0m,intercanthal_width,mm,0.01530810771118986,0.00575333995943162,0.0,0.002865542756713952,False
persp_1.0m,biocular_width,mm,0.014808025204689771,0.006334881198858957,1.591590089036869e-16,0.0017102089583041944,False
persp_1.0m,nose_breadth,mm,0.01572706860278355,0.002629101272606676,2.0647535968558203e-16,0.012472718043145339,False
persp_1.0m,mouth_width,mm,0.015652316076809974,0.006798053176412277,1.344406392657113e-16,0.01660977324384812,False
persp_1.0m,philtrum_width,mm,0.016262815060443712,0.005933385379549198,1.5761129775042224e-16,0.016506565909304327,False
persp_1.0m,bizygomatic_width,mm,0.014106652383916663,0.003234725818006534,2.060070002686021e-16,0.004821172748585198,False
persp_1.0m,bigonial_width,mm,0.01376763996047056,0.009619146850385904,1.2486118501903983e-16,0.01889518511727227,False
persp_1.0m,nose_height,mm,0.00022661700666983163,0.014061777660006944,0.0001009997223495552,0.013170179368922485,False
persp_1.0m,face_height_sellion_menton,mm,0.0001294537373190072,0.03304653695956485,8.986568677300965e-06,0.040280376135707424,False
persp_1.0m,philtrum_length,mm,0.00166033018056688,0.037776253975998146,0.0002101717445873902,0.04054312241317931,False
persp_1.0m,upper_face_height,mm,0.0002545770307483126,0.0024164833898953496,5.045546698114916e-05,0.0058014907702578925,False
persp_1.0m,middle_third_height,mm,0.00030089209796088846,0.011149548127536664,1.529591597490249e-05,0.01565081447043773,False
persp_1.0m,lower_third_height,mm,0.000531565929791951,0.07113657678237797,9.908708575239798e-05,0.08286999946541676,False
persp_1.0m,palpebral_fissure_width_l,mm,0.05583676785892132,0.013548102394062957,0.0021183988795500435,0.059250453672879975,False
persp_1.0m,palpebral_fissure_height_l,mm,0.005520340138481774,0.010644302084113313,1.6758083390568404e-16,0.010426253306751785,False
persp_1.0m,canthal_tilt_l,deg,0.20975126095258734,3.3394316694089,0.00014257062322631242,3.5322056237659867,False
persp_1.0m,eye_aspect_ratio_l,ratio,0.04765549870220346,0.023869024490334848,0.0021228960201002582,0.06577925620709664,False
persp_1.0m,palpebral_fissure_width_r,mm,0.0843458957155884,0.01465151629169715,0.0020754943292922764,0.0431115576699087,True
persp_1.0m,palpebral_fissure_height_r,mm,0.0054820962070904625,0.010644236944789947,0.0,0.018943521664967215,False
persp_1.0m,canthal_tilt_r,deg,0.4917361054105944,3.308419257791585,0.02322217000363125,4.340909009046643,False
persp_1.0m,eye_aspect_ratio_r,ratio,0.08612837439322187,0.024930483846253803,0.0020711955746222067,0.025256900319634606,True
persp_1.0m,intercanthal_biocular_ratio,ratio,0.0005075990459666592,0.0005778804355211898,1.5457874267405286e-16,0.0011573130455477608,False
persp_1.0m,nose_mouth_width_ratio,ratio,7.594118134716211e-05,0.004197486641199743,0.0,0.004206931376925951,False
persp_1.0m,eye_spacing_ratio,ratio,0.00042565520012723785,0.008404537612571138,2.3831027120180175e-16,0.009728516327563257,False
persp_1.0m,facial_thirds_ratio,ratio,0.0008320157565237892,0.06458110757235294,0.00011437166897196132,0.0732929736850803,False
persp_1.0m,lip_vermilion_ratio,ratio,4.7910097827170186e-05,0.0020540026082600704,1.7709023148166258e-15,0.0023057994546621294,False
persp_1.0m,facial_width_height_ratio,ratio,0.013855602671355556,0.005664898340647527,5.0458012863560156e-05,0.0009860385150167134,False
persp_1.0m,jaw_cheekbone_ratio,ratio,0.00034386318181959115,0.012812427976824546,0.0,0.014142194330599002,False
persp_1.0m,ocular_height_asymmetry,deg,0.04341040020724296,0.004855568583073289,2.4980018054066022e-15,0.05526015895698816,False
persp_1.0m,mouth_corner_asymmetry,deg,0.7168058893205607,0.024932949921210867,1.687538997430238e-14,0.5547561929530775,False
persp_1.0m,canthal_tilt_asymmetry,deg,0.7014873663631818,0.03101241161731494,0.02336474062685756,0.8087033852806567,False
persp_1.0m,nasofrontal_angle,deg,0.5448156124486303,0.0,0.7486017732521475,0.22156807467746376,False
