id,axis,apriori,apriori_source,measured_ortho,measured_persp_1.0m,measured_persp_0.5m,measured_ortho_asym,measured_3d_frame_dependence,worst_measured,worst_over_apriori,disagrees,direction
ramus_body_ratio_l,yaw,0.019,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",0.02113867205525124,0.016407744544273736,0.012287471493056515,0.019912812408880858,0.0,0.02113867205525124,1.1125616871184862,False,a-priori too optimistic
middle_third_height,pitch,0.001519224698779198,"cos(pitch), first order",0.0015192246987791932,0.001604711248025515,0.0016873019176258726,0.0015192246987791932,1.0003676027427813e-17,0.0016873019176258726,1.1106335481392162,False,a-priori too optimistic
mouth_width,yaw,0.001519224698779198,"cos(yaw), first order",0.0015188624318298685,0.0015851850946144732,0.0016319105592069688,0.001518861883584781,0.0,0.0016319105592069688,1.0741732677979248,False,a-priori too optimistic
nose_breadth,yaw,0.001519224698779198,"cos(yaw), first order",0.0015192246987792025,0.001572706860278355,0.0016178401383994412,0.0015192246987792025,0.0,0.0016178401383994412,1.064911687981039,False,a-priori too optimistic
mouth_corner_asymmetry,pitch,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.0013388442631937169,0.0013766804090676542,0.00226922044270243,0.010385338071199601,0.0013388442631937169,0.010385338071199601,1.0385338071199601,False,a-priori too optimistic
intercanthal_width,yaw,0.001519224698779198,"cos(yaw), first order",0.001519224698779209,0.001530810771118986,0.0015408944350855645,0.001519224698779198,2.2204460492503132e-17,0.0015408944350855645,1.0142636808918257,False,a-priori too optimistic
facial_width_height_ratio,yaw,0.001519224698779198,"cos(yaw) on the width, 1/cos(pitch) on the height",0.0015320704650201964,0.0013855602671355555,0.0012138778299062287,0.0015320704650201964,0.0,0.0015320704650201964,1.0084554748559058,False,a-priori too optimistic
margin_reflex_distance_1_l,pitch,0.001519224698779198,"cos(pitch), first order",0.0015192246987792129,0.0015195061286267899,0.0015137337176437632,0.0015215308018993502,0.0015192246987792129,0.0015215308018993502,1.0015179473596008,False,a-priori too optimistic
margin_reflex_distance_1_r,pitch,0.001519224698779198,"cos(pitch), first order",0.001519224698779195,0.0015194654514310538,0.001513570985065145,0.0015215308018993279,0.001519224698779195,0.0015215308018993279,1.001517947359586,False,a-priori too optimistic
interpupillary_distance,yaw,0.001519224698779198,"cos(yaw), first order",0.001519224698779196,0.0015195283454346473,0.0015138219753363603,0.001519224698779196,1.1214373986112694e-17,0.0015195283454346473,1.0001998694832261,False,a-priori too optimistic
nasal_tip_rotation,pitch,1.0,frame-referenced angle in the sagittal plane; pitch enters one for one,1.0000000000000022,1.0000000000000022,1.0000000000000022,1.0000000000000022,1.0000000000000022,1.0000000000000022,1.0000000000000022,False,a-priori too optimistic
biocular_width,yaw,0.001519224698779198,"cos(yaw), first order",0.0015191753757923484,0.001480723820587275,0.001431282123660933,0.0015191753651409002,1.5789584216635607e-17,0.0015191753757923484,0.9999675341067789,False,a-priori too pessimistic
gonial_angle_l,roll,1.15,mandibular yaw study; roll slope measured in evals/,1.146603724002815,1.0004132387711877,0.8596896989253751,1.0785523705065636,1.4210854715202005e-15,1.146603724002815,0.9970467165241871,False,a-priori too pessimistic
mentocervical_angle,roll,0.05,"unmeasured angle, conservative default",0.0009482965704378898,0.024586178895479805,0.0491728203652471,0.0009482965704378898,1.4210854715202005e-15,0.0491728203652471,0.983456407304942,False,a-priori too pessimistic
ocular_height_asymmetry,yaw,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.0005016851068294248,0.00483543622405872,0.009658279123587495,0.0005019001417929353,0.0,0.009658279123587495,0.9658279123587494,False,a-priori too pessimistic
mentolabial_angle,yaw,0.15,"unmeasured angle, conservative default",0.0559284119999063,0.07219921788029851,0.1443960438895317,0.0559284119999063,2.842170943040401e-15,0.1443960438895317,0.962640292596878,False,a-priori too pessimistic
nose_mouth_width_ratio,yaw,0.0001519224698779198,cosine cancels between same-plane terms,3.678541477923352e-07,2.0277452861334132e-05,4.1237504093262926e-05,0.0001360136553104118,0.0,0.0001360136553104118,0.8952833337932707,False,a-priori too pessimistic
