id,unit,view,value_orthographic,landmark_depth_span_mm,dev_0.3m,dev_0.4m,dev_0.5m,dev_0.7m,dev_1.0m,dev_1.5m,dev_2.0m,dev_3.0m,implied_depth_straddle_mm_mean,implied_depth_straddle_mm_spread,straddle_constant_across_distance,icao_predicts
eye_aspect_ratio_l,ratio,frontal,0.36412633792318966,10.0,0.04566099288234773,0.03406570753257329,0.02716699462961968,0.019335689567974726,0.013498862165522684,0.008980616136813174,0.006728503001122026,0.004481040496352789,13.53912184402133,0.2551763756459522,True,True
palpebral_fissure_width_r,mm,frontal,29.159740107341975,10.0,-0.04356719381864569,-0.03286840393661985,-0.02638835829783259,-0.01892592412996797,-0.013288949917820215,-0.00888058771768163,-0.006668456092946163,-0.004450995404073793,-13.244946956573985,0.2828280666276708,True,True
palpebral_fissure_height_r,mm,frontal,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
canthal_tilt_r,deg,frontal,5.999999999999999,10.0,0.24586633654174594,0.1832440374501063,0.1460459737910691,0.10387372954506713,0.07247979862029652,0.04820033985511252,0.03610559717455075,0.024040699059277415,,,,
eye_aspect_ratio_r,ratio,frontal,0.3772324430707244,10.0,0.045551756001126424,0.033985451483963064,0.02710357720425132,0.019291024597897145,0.013467924491889813,0.008960159197398548,0.006713222925265437,0.0044708953386782685,13.507813546141266,0.25284078430312107,True,True
intercanthal_biocular_ratio,ratio,frontal,0.3555498279718759,10.0,0.033557046979866036,0.025125628140703606,0.02008032128514069,0.014326647564469943,0.010020040080160253,0.006675567423231168,0.005005005005005068,0.0033355570380254017,10.029531453379239,0.060442979883605474,True,True
nose_mouth_width_ratio,ratio,frontal,0.6537687893361693,4.0,-0.013888888888888716,-0.010309278350515745,-0.008196721311475292,-0.005813953488372273,-0.00404858299595168,-0.0026881720430109056,-0.0020120724346079457,-0.0013386880856758982,-4.072444536397847,0.15060240963891935,True,True
eye_spacing_ratio,ratio,frontal,0.9411764705882353,10.0,-0.033557046979865765,-0.025125628140703488,-0.02008032128514045,-0.014326647564469913,-0.01002004008016047,-0.0066755674232309575,-0.005005005005004871,-0.003335557038025426,-10.029531453379152,0.06044297988345093,True,True
facial_thirds_ratio,ratio,frontal,1.0597014925373134,12.0,0.07751177963785148,0.05660404665109618,0.0445794746619271,0.031286841072146805,0.021617898371191897,0.014268593838915754,0.010648493965061094,0.007064043763765272,21.94944837303047,2.0614026000596297,True,True
lip_vermilion_ratio,ratio,frontal,0.5,3.0,0.010948905109484208,0.008021390374328696,0.006329113924046892,0.004451038575663757,0.0030800821355239094,0.002035278154681741,0.0015197568389040406,0.0010087424344313867,3.1215314995266974,0.25844422955110247,True,True
facial_width_height_ratio,ratio,frontal,1.6395348837209303,48.0,-0.14398560514949804,-0.10984225202234682,-0.08878856785415762,-0.06418441818312313,-0.04533892919141789,-0.03044200811821559,-0.02291341733172698,-0.015330620535784755,-44.90957458107533,2.7961800625048596,True,True
