id,unit,view,lossless_mean,lossless_sd,lossless_noise,q95_mean,q95_sd,q95_noise,q85_mean,q85_sd,q85_noise,q75_mean,q75_sd,q75_noise,jpeg_only_mean,jpeg_only_sd,jpeg_only_noise
nasal_tip_projection_ratio,ratio,profile,0.5546955585455735,0.00012310119369023396,0.00022192568841367428,0.55473857083806,0.00012804321603018348,0.00023081722231202493,0.554778648603414,0.00013989818370000232,0.00025216937250951987,0.5547809792198862,0.00017585622929029972,0.000316983162504206,0.5547642389893176,0.00012607235085693047,0.000227253925174795
submental_length,mm,profile,70.02820016916665,0.007519717204706506,0.00010738127192389888,70.02918322375662,0.008274723552521861,0.00011816107473483645,70.02831898714945,0.009284567377025961,0.00013258303942337567,70.03019009359448,0.01105520261016996,0.00015786338142727898,70.02764779317313,0.008458340088526028,0.00012078572328329178
chin_projection,mm,profile,-4.000690476690778,0.007846777617409536,0.001961355836730488,-4.000366003172513,0.007147129313645738,0.0017866188513695166,-4.000085379592825,0.008262990140678977,0.0020657034429400305,-4.000467747777675,0.010704742425669742,0.0026758726980404732,-4.001949509260253,0.009405434968127435,0.0023502133013832043
brow_apex_lateral_offset_l,ratio,frontal,-0.6870389034389697,0.00022934763207297466,0.00033382044441002725,-0.687030539834769,0.00025778209254964754,0.0003752119849164845,-0.687081851402028,0.00024029492494621554,0.00034973260384607834,-0.6871156014438091,0.0003138877290467944,0.0004568193887422064,-0.6870684068295825,0.0002914872175332732,0.00042424773812307226
margin_reflex_distance_1_l,mm,frontal,5.30109305756535,0.007531521308473064,0.0014207487449639472,5.299481699227329,0.009529493373186218,0.0017981934675943179,5.297794285550824,0.010157528389137705,0.0019173127233047334,5.2962802174950365,0.011572541428733076,0.0021850319381715986,5.294682066476976,0.008336194658939151,0.0015744466909013038
margin_reflex_distance_2_l,mm,frontal,5.300112335441934,0.00753843369310542,0.0014223158333259837,5.300056030667752,0.008938664351832049,0.0016865226141214718,5.300137462778316,0.008399911211682846,0.0015848478026605063,5.301924703950731,0.010741701345084806,0.0020260003573948577,5.301531365572124,0.0083178898932053,0.0015689598569992916
medial_canthal_angle_l,deg,frontal,36.8534543770469,0.03277992767958509,0.03277992767958509,36.84833064291273,0.03390245248354448,0.03390245248354448,36.84469398643484,0.033880134598426204,0.033880134598426204,36.84556278253216,0.04452580525823057,0.04452580525823057,36.838375708365454,0.03148816808739692,0.03148816808739692
brow_apex_lateral_offset_r,ratio,frontal,-0.6858693577416646,0.0002210597381224847,0.00032230589634498256,-0.6858346396630267,0.0002459712608754344,0.00035864514075329915,-0.6858341801335521,0.0002683649775886993,0.00039129717555990096,-0.6858470011012892,0.0003317512008401304,0.000483710215700332,-0.6858674199778569,0.00026061473680163684,0.0003799783007772125
margin_reflex_distance_1_r,mm,frontal,5.5000563050251525,0.008288259119111543,0.0015069407765042216,5.500027205129397,0.008243167560015951,0.001498750324785351,5.497254443893091,0.008544669402339602,0.0015543521751720788,5.499505611690037,0.010186346949022764,0.0018522295763041192,5.498606340409299,0.009141531247310713,0.001662517860231152
margin_reflex_distance_2_r,mm,frontal,5.499376580987458,0.007380103481727013,0.0013419891096822934,5.5007942772910905,0.008233544341440018,0.0014967919042947178,5.503180810018891,0.008462749184124716,0.001537792319801258,5.5019080388528865,0.010911292355783525,0.0019831833390763945,5.501156703124064,0.008134687779253365,0.0014787231519207114
medial_canthal_angle_r,deg,frontal,38.14326326123976,0.027206644978749604,0.027206644978749604,38.148231144695785,0.03199036687105861,0.03199036687105861,38.1421814626781,0.03429680966640279,0.03429680966640279,38.14269661411071,0.039508662968990096,0.039508662968990096,38.137344523383966,0.03415823130339096,0.03415823130339096
upper_vermilion_height,mm,frontal,3.9997109865278344,0.007280880664071255,0.001820351692558621,4.000042191816002,0.00808409339256283,0.002021002030704253,3.9994394076944184,0.010005358913984309,0.0025016903355843463,3.9997860113575325,0.010346607803155832,0.002586790336727084,3.9998569017525694,0.00924175654371408,0.002310521793833357
lower_vermilion_height,mm,frontal,7.999920946218817,0.0074265967657448926,0.000928333769254944,7.999676851756215,0.007763437693165236,0.0009704689123112371,7.999580092750948,0.009785817667488598,0.0012232914170527901,7.999965553966697,0.011305410112468642,0.001413182348874362,8.001130879723817,0.009424997652021837,0.001177958190373605
cupids_bow_peak_height_l,mm,frontal,1.5006410741627132,0.006939750230671508,0.004624523712003259,1.4998620194075323,0.008230211264121294,0.005487312271146348,1.4977361989930216,0.008246688589495297,0.005506102206142726,1.4973321363024559,0.00991459116063632,0.006621504287699071,1.4971882136798877,0.008777540763521103,0.005862683584682439
