id,raw,mc_median,shift,rel_shift,ci_low,ci_high,sd,n_valid,reportability,unavailable
palpebral_fissure_width_r,30.82678126447405,30.826780606289535,-6.581845148900811e-07,-2.135106189787637e-08,30.82649643728727,30.827059830215525,0.00014322815006240778,4096,caveat,False
palpebral_fissure_height_r,11.0,11.000002262125882,2.262125882168675e-06,2.0564780746987957e-07,10.999726717893731,11.000272423862445,0.00014060390978345755,4096,caveat,False
canthal_tilt_r,6.000000000000001,6.000002293718488,2.293718487145213e-06,3.8228641452420215e-07,5.999392849184069,6.000616904149992,0.0003095703179049929,4096,report,False
eye_aspect_ratio_r,0.35683258351324587,0.3568326443656519,6.085240600306463e-08,1.70534891752131e-07,0.3568229756719057,0.3568421447276468,4.878146779423088e-06,4096,caveat,False
intercanthal_biocular_ratio,0.3555498279718759,0.3555498374504233,9.47854739141718e-09,2.6658843981122488e-08,0.3555466195618535,0.3555529985259935,1.6384938170984032e-06,4096,report,False
nose_mouth_width_ratio,0.6537687893361693,0.6537688433107993,5.397462998768532e-08,8.255920268462287e-08,0.6537625986246839,0.6537751463074041,3.1947901998742617e-06,4096,report,False
eye_spacing_ratio,0.9411764705882353,0.9411762484321271,-2.221561081761081e-07,-2.3604086493711485e-07,0.9411653441209324,0.9411876505688324,5.68869742922125e-06,4096,caveat,False
facial_thirds_ratio,1.043516775597798,1.0435167528132574,-2.2784540698594924e-08,-2.1834378930364942e-08,1.0435096867608815,1.0435239016745554,3.6534294707171273e-06,4096,caveat,False
lip_vermilion_ratio,0.5,0.4999998081108119,-1.9188918809476263e-07,-3.8377837618952526e-07,0.4999561338469389,0.5000440884476605,2.253250112762328e-05,4096,caveat,False
facial_width_height_ratio,1.6324868773823995,1.6324868606046428,-1.6777756739472238e-08,-1.0277422117091944e-08,1.632480668927225,1.632492832688007,3.0996452933127155e-06,4096,withhold,False
jaw_cheekbone_ratio,0.8297872340425532,0.8297872379470874,3.904534251475411e-09,4.705464354342162e-09,0.8297847352308703,0.8297899449017317,1.322463503233612e-06,4096,withhold,False
ocular_height_asymmetry,0.3252147242548326,0.32521268462548447,-2.0396293481383942e-06,-6.271639000392172e-06,0.3249035064083699,0.3255260010691555,0.00015798126727110365,4096,caveat,False
mouth_corner_asymmetry,0.8814039965821346,0.8814007494464735,-3.247135661132994e-06,-3.6840491689674402e-06,0.8810089800664362,0.8817904459393122,0.00019946177287846908,4096,caveat,False
canthal_tilt_asymmetry,1.0000000000000018,1.0000029121516527,2.9121516509356127e-06,2.9121516509356076e-06,0.9990892053371712,1.0009366984280264,0.00047196005244286385,4096,caveat,False
nasofrontal_angle,121.53479190518829,121.53476326992481,-2.8635263475962347e-05,-2.3561371214838042e-07,121.53354194538012,121.5359878901149,0.0006249206940433054,4096,caveat,False
nasolabial_angle,100.66978280449668,100.66976715272092,-1.5651775754577102e-05,-1.554764033312087e-07,100.66816333866744,100.67144354588096,0.0008312534299026702,4096,caveat,False
facial_convexity_angle,173.192032159384,173.19204174382332,9.584439311538517e-06,5.5339955262596685e-08,173.19153655716443,173.19252701525582,0.00025602247951559087,4096,caveat,False
mentolabial_angle,113.38522105721376,113.38523311132107,1.2054107315861984e-05,1.063110977203945e-07,113.38292584878067,113.38743732491622,0.0011394244546756235,4096,caveat,False
mentocervical_angle,87.36707506187837,87.36707192379222,-3.1380861429397555e-06,-3.5918406799325525e-08,87.36681130803116,87.36733887163673,0.00013386818120466565,4096,caveat,False
submental_cervical_angle,110.81558506742743,110.81558827983753,3.2124100926012034e-06,2.8988793324030762e-08,110.81485129626529,110.8163138758461,0.0003721054137120785,4096,caveat,False
gonial_angle_l,124.07635622061957,124.07635700153949,7.809199189523497e-07,6.2938656706181776e-09,124.07603898359602,124.07667508023144,0.0001617740295260982,4096,caveat,False
gonial_angle_r,124.07635622061957,124.07635331158511,-2.909034463982607e-06,-2.344551816794222e-08,124.07604895141593,124.07666902054046,0.00015885706133565803,4096,caveat,False
e_line_upper_lip,-2.6721019108280224,-2.672104246638109,-2.3358100866843756e-06,-8.741470814489116e-07,-2.6723293062680478,-2.6718880924399535,0.00011280215469620757,4096,withhold,False
