id,unit,evidence,spec_measured_within_person_rsd,spec_between_subject_rsd,between_person_mean,between_person_sd,between_person_rsd,expression_within_person,expression_within_person_sd_units,expression_n_subjects,expression_discriminability,expression_discriminability_ci_low,expression_discriminability_ci_high,expression_informative,expression_reportable_cv_under_10pct,frontal_within_person,frontal_within_person_sd_units,frontal_n_subjects,frontal_discriminability,frontal_discriminability_ci_low,frontal_discriminability_ci_high,frontal_informative,frontal_reportable_cv_under_10pct,three_quarter_within_person,three_quarter_within_person_sd_units,three_quarter_n_subjects,three_quarter_discriminability,three_quarter_discriminability_ci_low,three_quarter_discriminability_ci_high,three_quarter_informative,three_quarter_reportable_cv_under_10pct,all_usable_within_person,all_usable_within_person_sd_units,all_usable_n_subjects,all_usable_discriminability,all_usable_discriminability_ci_low,all_usable_discriminability_ci_high,all_usable_informative,all_usable_reportable_cv_under_10pct
philtrum_length,mm,conventional,,0.06,13.841525846303037,1.7621511326728312,0.12730902302533995,0.11252698991542565,1.3620290563608424,102,1.1313643342012822,0.9711558745024327,1.3452386780622605,False,False,0.11252698991542565,1.3620290563608424,102,1.1313643342012822,0.9727171872347478,1.329529292188148,False,False,0.1333292489910582,2.510781923314242,102,0.9548469221024264,0.8760580100440691,1.0670162421479126,False,False,0.23447310692206233,3.9641856327799156,102,0.5429578884185503,0.5203179449772192,0.5646400436087404,False,False
upper_face_height,mm,conventional,,0.06,74.72351276782072,4.1205542641855555,0.05514401172478136,0.02525614737696948,1.863784484932949,102,2.1833896873386935,1.9116778314567382,2.5522876714081,True,True,0.02525614737696948,1.863784484932949,102,2.1833896873386935,1.9129454580843206,2.559377468080801,True,True,0.09436474210249371,10.135277602084983,102,0.5843709260063151,0.5330390948378391,0.6430184044892044,False,True,0.1981479575872148,18.639893765395705,102,0.2782971492426801,0.26791515115828185,0.2918882426871017,False,False
middle_third_height,mm,conventional,,0.08019216555801922,60.88689485274917,3.4778604598565246,0.05712001684874051,0.015618005458297739,0.95227776908824,102,3.657318279293662,3.2265673527045453,4.203344793928512,True,True,0.015618005458297739,0.95227776908824,102,3.657318279293662,3.1874655025293053,4.3171624362820165,True,True,0.08967412268914443,7.934996275059576,102,0.636973244184916,0.5686598376808013,0.7107847763156888,False,True,0.19380097108006966,14.91561616298245,102,0.29473545220339037,0.28314091288185544,0.30751407160142313,False,False
lower_third_height,mm,conventional,,0.07665505226480836,63.867443195356906,4.84694991067349,0.07589077733780109,0.03016358613834925,1.9755355258307887,102,2.515973299385493,2.223145993486458,2.879291910072823,True,True,0.03016358613834925,1.9755355258307887,102,2.515973299385493,2.221481266728558,2.8933246321992265,True,True,0.08726694212835073,8.0020522819705,102,0.8696394704214824,0.7886256385120495,0.9962722300502318,False,True,0.19469075478309347,15.948154063125479,102,0.38980164940215883,0.37600447601179743,0.403677421085225,False,False
palpebral_fissure_width_l,mm,conventional,,0.06427779830070188,25.837917249281766,0.7199998248471572,0.02786601636272256,0.013422215337111605,0.3425590421630944,102,2.0761115555697223,1.8508744786377915,2.3912075546379663,True,True,0.013422215337111605,0.3425590421630944,102,2.0761115555697223,1.856334055726321,2.417327278141234,True,True,0.223002266390968,6.485881099534886,102,0.124958444654853,0.1192187892703442,0.13166536488052605,False,False,0.1790322614335959,4.984945847291488,102,0.15564801639428671,0.14867365529381002,0.16336094300881787,False,False
palpebral_fissure_height_l,mm,conventional,,0.14690721649484534,8.90594274599318,0.877009434969732,0.09847463204996486,0.09411539963563298,0.7659042300512917,102,1.0463179504226578,0.8933656536077077,1.2417115926764188,False,True,0.09411539963563298,0.7659042300512917,102,1.0463179504226578,0.8970794924752759,1.25595573430761,False,True,0.1193060276690267,1.384055906931356,102,0.8253952794669239,0.7322987788228013,0.9349934065658154,False,False,0.20178462850686157,2.1076529516108375,102,0.48801850160066224,0.46634151031343035,0.5124934297687413,False,False
canthal_tilt_l,deg,pose_critical,,2.1,3.853561085794666,1.998731491021134,0.5186712878093546,0.8277331013805345,0.8277331013805345,102,2.4147052808297147,2.1089730020201554,2.8613885073631913,True,,0.8277331013805345,0.8277331013805345,102,2.4147052808297147,2.1141542737991443,2.7906831474084526,True,,3.027662030015674,3.027662030015674,102,0.6601567385018818,0.6248513949016268,0.7034414074798441,False,,2.3564327942822487,2.3564327942822487,102,0.8482022045657076,0.805101369326262,0.8981301661039914,False,
eye_aspect_ratio_l,ratio,pose_invariant_ratio,,,0.3447073272168053,0.033227784599574435,0.09639419291680928,0.08540126061464082,0.02703193101906007,102,1.1287209605929855,0.9569659220852028,1.3249347744395539,False,True,0.08540126061464082,0.02703193101906007,102,1.1287209605929855,0.942019291455246,1.3438321582239259,False,True,0.3190763666486191,0.137385874744013,102,0.3021038315349842,0.2900390369388854,0.3158411039706568,False,False,0.28709037012303845,0.11184483657512227,102,0.3357625436042929,0.32177865526636706,0.3498189490618161,False,False
palpebral_fissure_width_r,mm,conventional,,0.06041968162083936,25.766620806540594,0.6957046652860375,0.027000229114616376,0.01306960431402829,0.332700608081941,102,2.0658796139402336,1.7756902075166352,2.4999436246208195,True,True,0.01306960431402829,0.332700608081941,102,2.0658796139402336,1.7720101749852817,2.4823292774597223,True,True,0.37305340257335723,9.564970476541312,102,0.07237631108137943,0.0697032132901908,0.0758294265218537,False,False,0.2659434377462441,6.831059185218893,102,0.10152620927002999,0.09770178630536863,0.10597978844456284,False,False
palpebral_fissure_height_r,mm,conventional,,0.09090909090909091,9.036848206796222,0.8512166613605904,0.09419397580678927,0.10045249418469013,0.8065157298157205,102,0.9376967348725652,0.7829201675238728,1.1198468558813117,False,False,0.10045249418469013,0.8065157298157205,102,0.9376967348725652,0.7848253625004893,1.1369511772150342,False,False,0.16724177407028404,1.9553386161765973,102,0.5632203815728711,0.5201407376970458,0.6111443776005361,False,False,0.2238196113574412,2.3669705890411503,102,0.42084773195482394,0.40708092808514534,0.4369951539976375,False,False
canthal_tilt_r,deg,pose_critical,,2.1,3.3721519542102567,2.0888913187383342,0.6194534964921364,0.7704128873254332,0.7704128873254332,102,2.7113919731926255,2.376176413492704,3.113136274171718,True,,0.7704128873254332,0.7704128873254332,102,2.7113919731926255,2.4131284720932893,3.125048322992873,True,,1.7759361159241658,1.7759361159241658,102,1.176219853860741,1.0635689007601858,1.3395568579361492,True,,1.6814342578736374,1.6814342578736374,102,1.2423270841287437,1.1446375585911057,1.3565138329534396,True,
eye_aspect_ratio_r,ratio,pose_invariant_ratio,,,0.3508649365235673,0.033514710693571224,0.09552026208614912,0.09525771948901259,0.02985064273849545,102,1.002756129356706,0.8278158287979922,1.2371101519628063,False,True,0.09525771948901259,0.02985064273849545,102,1.002756129356706,0.8414134474971858,1.2033400731567052,False,True,0.21889868933554224,0.10965605090064068,102,0.436367446402246,0.41670347658844475,0.4570572318639438,False,False,0.2693187800121685,0.11669541162786579,102,0.3546736030878844,0.34180469274706937,0.3685667246760329,False,False
intercanthal_biocular_ratio,ratio,pose_invariant_ratio,,0.054285054285054285,0.373753352939125,0.016774391585770033,0.044880912649637575,0.019215211423339623,0.007347520528194199,102,2.3356970506774277,2.0715634693607514,2.654357369663126,True,True,0.019215211423339623,0.007347520528194199,102,2.3356970506774277,2.1087416744419833,2.65586081340014,True,True,0.029521280688836915,0.011446508477646576,102,1.52029016365163,1.3798381184671444,1.6870138338527014,True,True,0.039287838022458825,0.01514399734543064,102,1.1423614764442238,1.0566254072613053,1.2631243185205507,True,True
nose_mouth_width_ratio,ratio,pose_invariant_ratio,,0.11068597977589506,0.7053506669521169,0.036022172313749164,0.051069877723947124,0.06575050836894523,0.04383211365222043,102,0.7767221728139223,0.6979839816227764,0.8734185565456586,False,True,0.06575050836894523,0.04383211365222043,102,0.7767221728139223,0.707457029753905,0.887557359811462,False,True,0.06911608467835764,0.050502547885456904,102,0.7389000398620477,0.6738070663438862,0.8180724918723041,False,True,0.07436327272778079,0.05262220116159419,102,0.6867621051442553,0.6376533797732151,0.7440933543277028,False,True
eye_spacing_ratio,ratio,pose_invariant_ratio,,,0.931598189483956,0.06385004340606393,0.06853817893466779,0.045526228883998036,0.04196269909838437,102,1.5054657636876707,1.370124014507672,1.7023675243618017,True,True,0.045526228883998036,0.04196269909838437,102,1.5054657636876707,1.358386302941194,1.6979909257356665,True,True,0.04947645617143531,0.04437189670192534,102,1.3852685547482189,1.2573914457336586,1.5488004410712273,True,True,0.05182908155841898,0.04698115662680042,102,1.3223884520781102,1.217454020119549,1.4519499551995694,True,True
facial_thirds_ratio,ratio,conventional,,,0.958545753079408,0.08796197796245563,0.09176607134283413,0.03576340018551037,0.03383802347754083,102,2.5659213292592176,2.245995604788429,3.0214837729370023,True,True,0.03576340018551037,0.03383802347754083,102,2.5659213292592176,2.2688922983067235,2.9694634297734614,True,True,0.035647194518791496,0.03371964909302616,102,2.574285931378399,2.284011311342356,2.9502873444176005,True,True,0.0373087847018582,0.035342796526187006,102,2.4596371089585136,2.2546936744651336,2.708418505986096,True,True
lip_vermilion_ratio,ratio,conventional,,,0.7047770689398313,0.08820970056907335,0.12515971994061012,0.08006163950922983,0.056440563049633574,102,1.5632919923677207,1.3793553229572517,1.78259554600925,True,True,0.08006163950922983,0.056440563049633574,102,1.5632919923677207,1.3785054603257283,1.8072050329553726,True,True,0.07008238676748586,0.0521290560381522,102,1.7858940842847681,1.6519975043914943,1.9682858916129335,True,True,0.08551180492363669,0.061459607612961036,102,1.4636542878773242,1.3742529829703407,1.5731168118929983,True,True
