id,distance_m,value,deviation
bizygomatic_width,0.4,133.64928909952607,-0.0521327014218009
bizygomatic_width,0.5,135.05747126436782,-0.042145593869731775
bizygomatic_width,0.7,136.70360110803324,-0.03047091412742383
bizygomatic_width,1.0,137.96477495107632,-0.02152641878669275
bizygomatic_width,1.5,138.96189224704338,-0.014454664914585956
bizygomatic_width,2.0,139.4658753709199,-0.010880316518298658
bizygomatic_width,3.0,139.9735274652548,-0.007279947054930567
bigonial_width,0.3,107.01219512195122,-0.08536585365853656
bigonial_width,0.4,109.34579439252336,-0.0654205607476636
bigonial_width,0.5,110.79545454545455,-0.05303030303030302
bigonial_width,0.7,112.5,-0.038461538461538464
bigonial_width,1.0,113.81322957198444,-0.027237354085603106
bigonial_width,1.5,114.85602094240838,-0.018324607329842924
bigonial_width,2.0,115.38461538461539,-0.013806706114398404
bigonial_width,3.0,115.91809775429327,-0.009247027741083155
nose_height,0.3,56.785714285714285,0.07142857142857141
nose_height,0.4,55.78947368421052,0.05263157894736831
nose_height,0.5,55.208333333333336,0.04166666666666671
nose_height,0.7,54.55882352941176,0.029411764705882283
nose_height,1.0,54.08163265306123,0.020408163265306173
nose_height,1.5,53.71621621621622,0.013513513513513539
nose_height,2.0,53.535353535353536,0.01010101010101012
nose_height,3.0,53.35570469798658,0.006711409395973239
face_height_sellion_menton,0.3,123.28767123287673,0.02739726027397277
face_height_sellion_menton,0.4,122.44897959183673,0.0204081632653061
face_height_sellion_menton,0.5,121.95121951219514,0.01626016260162615
face_height_sellion_menton,0.7,121.38728323699424,0.011560693641618632
face_height_sellion_menton,1.0,120.96774193548387,0.008064516129032267
face_height_sellion_menton,1.5,120.64343163538874,0.00536193029490614
face_height_sellion_menton,2.0,120.48192771084338,0.004016064257028162
face_height_sellion_menton,3.0,120.32085561497327,0.002673796791443905
philtrum_length,0.3,17.666840458811258,0.17778936392075054
philtrum_length,0.4,16.937799043062213,0.12918660287081424
philtrum_length,0.5,16.52162447257384,0.1014416315049227
philtrum_length,0.7,16.06432187118171,0.07095479141211408
philtrum_length,1.0,15.733562418807345,0.04890416125382302
philtrum_length,1.5,15.483241042942531,0.03221606952950206
philtrum_length,2.0,15.360289828374945,0.024019321891663024
philtrum_length,3.0,15.238780843371856,0.015918722891457075
upper_face_height,0.3,93.6014909147383,0.0883894292411431
upper_face_height,0.4,91.57544026653974,0.06483070077371794
upper_face_height,0.5,90.40215697603166,0.051187871814321655
upper_face_height,0.7,89.09821871437646,0.03602579900437741
upper_face_height,1.0,88.14513397207224,0.02494341827990982
upper_face_height,1.5,87.41808074094013,0.016489310941164265
upper_face_height,2.0,87.05911460489901,0.012315286103476842
upper_face_height,3.0,86.70313745282725,0.00817601689334011
middle_third_height,0.3,75.93465045592706,0.06950211909756417
middle_third_height,0.4,74.63764122347754,0.05123438342926119
middle_third_height,0.5,73.88053250345781,0.04057088033039175
middle_third_height,0.7,73.03389684319475,0.028646434411193713
middle_third_height,1.0,72.41157155326489,0.019881289482604113
middle_third_height,1.5,71.9348396979976,0.013166756309825394
middle_third_height,2.0,71.69882477652408,0.009842602486254608
middle_third_height,3.0,71.4643566094554,0.006540233935991454
lower_third_height,0.3,66.50195694716245,-0.007433478400560373
lower_third_height,0.4,66.65950590762621,-0.005082001378713258
lower_third_height,0.5,66.7428861788618,-0.0038375197184806705
lower_third_height,0.7,66.82845970758248,-0.0025603028719032536
lower_third_height,1.0,66.88610928242264,-0.0016998614563785443
lower_third_height,1.5,66.92721541917251,-0.001086337027275938
lower_third_height,2.0,66.94657417548984,-0.0007974003658232369
lower_third_height,3.0,66.96515091698669,-0.0005201355673628809
palpebral_fissure_width_l,0.3,27.839591881986237,-0.04366710931473488
palpebral_fissure_width_l,0.4,28.151765479409903,-0.03294346508584927
palpebral_fissure_width_l,0.5,28.340839844891985,-0.026448469208666142
palpebral_fissure_width_l,0.7,28.558575537657376,-0.018968912563210424
palpebral_fissure_width_l,1.0,28.723046838510175,-0.013319069877079006
palpebral_fissure_width_l,1.5,28.851669519892727,-0.008900682523712029
palpebral_fissure_width_l,2.0,28.916212466395848,-0.006683532830414514
palpebral_fissure_width_l,3.0,28.98091065449311,-0.004461050349082333
palpebral_fissure_height_l,0.3,10.599999999999998,0.0
palpebral_fissure_height_l,0.4,10.599999999999998,0.0
palpebral_fissure_height_l,0.5,10.599999999999998,0.0
palpebral_fissure_height_l,0.7,10.599999999999998,0.0
palpebral_fissure_height_l,1.0,10.599999999999998,0.0
palpebral_fissure_height_l,1.5,10.599999999999998,0.0
palpebral_fissure_height_l,2.0,10.599999999999998,0.0
palpebral_fissure_height_l,3.0,10.599999999999998,0.0
canthal_tilt_l,0.3,5.22783222963646,0.22783222963646388
canthal_tilt_l,0.4,5.169798700432468,0.16979870043247125
canthal_tilt_l,0.5,5.135327869067871,0.13532786906787475
canthal_tilt_l,0.7,5.096248867554093,0.09624886755409623
canthal_tilt_l,1.0,5.06715852136682,0.06715852136682354
canthal_tilt_l,1.5,5.044661140079793,0.04466114007979627
canthal_tilt_l,2.0,5.0334543061471395,0.033454306147143065
canthal_tilt_l,3.0,5.022275239555906,0.02227523955590982
eye_aspect_ratio_l,0.3,0.38075270804737577,0.04566099288234773
eye_aspect_ratio_l,0.4,0.376530559255788,0.03406570753257329
eye_aspect_ratio_l,0.5,0.37401855619005203,0.02716699462961968
eye_aspect_ratio_l,0.7,0.3711669717567959,0.019335689567974726
eye_aspect_ratio_l,1.0,0.36904162916965133,0.013498862165522684
eye_aspect_ratio_l,1.5,0.36739641678938134,0.008980616136813174
eye_aspect_ratio_l,2.0,0.3665763630806934,0.006728503001122026
eye_aspect_ratio_l,3.0,0.3657580027892121,0.004481040496352789
palpebral_fissure_width_r,0.3,27.88933205838407,-0.04356719381864569
palpebral_fissure_width_r,0.4,28.201305990807004,-0.03286840393661985
palpebral_fissure_width_r,0.5,28.390262437517755,-0.02638835829783259
palpebral_fissure_width_r,0.7,28.607865078420836,-0.01892592412996797
palpebral_fissure_width_r,1.0,28.772237781438854,-0.013288949917820215
palpebral_fissure_width_r,1.5,28.900784477493925,-0.00888058771768163
palpebral_fissure_width_r,2.0,28.965289660754443,-0.006668456092946163
palpebral_fissure_width_r,3.0,29.02995023814021,-0.004450995404073793
palpebral_fissure_height_r,0.3,11.0,0.0
palpebral_fissure_height_r,0.4,11.0,0.0
palpebral_fissure_height_r,0.5,11.0,0.0
palpebral_fissure_height_r,0.7,11.0,0.0
palpebral_fissure_height_r,1.0,11.0,0.0
palpebral_fissure_height_r,1.5,11.0,0.0
palpebral_fissure_height_r,2.0,11.0,0.0
palpebral_fissure_height_r,3.0,11.0,0.0
canthal_tilt_r,0.3,6.245866336541745,0.24586633654174594
canthal_tilt_r,0.4,6.183244037450105,0.1832440374501063
canthal_tilt_r,0.5,6.146045973791068,0.1460459737910691
canthal_tilt_r,0.7,6.103873729545066,0.10387372954506713
canthal_tilt_r,1.0,6.072479798620296,0.07247979862029652
canthal_tilt_r,1.5,6.048200339855112,0.04820033985511252
canthal_tilt_r,2.0,6.03610559717455,0.03610559717455075
canthal_tilt_r,3.0,6.0240406990592765,0.024040699059277415
eye_aspect_ratio_r,0.3,0.39441604327319085,0.045551756001126424
eye_aspect_ratio_r,0.4,0.39005285796288136,0.033985451483963064
eye_aspect_ratio_r,0.5,0.3874567917154401,0.02710357720425132
eye_aspect_ratio_r,0.7,0.3845096434091266,0.019291024597897145
eye_aspect_ratio_r,1.0,0.38231298112989204,0.013467924491889813
eye_aspect_ratio_r,1.5,0.3806125058150617,0.008960159197398548
