stratum_kind,group,n_subjects,landmark_median_err_over_ipd,landmark_err_ci_low,landmark_err_ci_high,id,unit,n,mean,between_spread,between_spread_ci_low,between_spread_ci_high,within_person_cv,within_person_cv_ci_low,within_person_cv_ci_high,discriminability,mean_percentile_vs_pooled_niosh
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,mouth_corner_asymmetry,deg,9,1.3431671889903942,0.990902017729448,0.4673621671601995,1.3322122825680387,2.031789086097456,1.6695309694306815,2.3369833661083024,0.48769925210727244,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,canthal_tilt_asymmetry,deg,9,1.9200181037128574,1.5115893410524117,0.42716882773110104,2.2329494885982535,2.0396046875236715,1.706190246195271,2.3418911683150063,0.7411187816437436,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,brow_apex_lateral_offset_l,ratio,9,-0.5299536927495541,0.21432065348287008,0.1120664529286654,0.2774277802205828,2.4048574041152113,1.8829906152952183,2.887650822513152,0.08911990087899717,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,margin_reflex_distance_1_l,mm,9,3.4915963429974286,0.3268806463054526,0.13234954439682806,0.49189138379985126,0.24222042450830988,0.21798357380384462,0.2625537232753377,1.3495172711756116,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,margin_reflex_distance_2_l,mm,9,6.138128803697978,0.08446730434447854,0.04052454485818083,0.11053861209733758,0.21915092531092054,0.1773979212767655,0.2577516105239339,0.3854298320878202,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,medial_canthal_angle_l,deg,9,38.71932569984492,5.66308194120402,3.0899592803489777,7.139946270671402,7.3461292409979215,6.42903724310938,8.352164381201202,0.7708933174765012,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,brow_apex_lateral_offset_r,ratio,9,-0.5476547027676035,0.2581278760632118,0.14481291679425273,0.32894170349240104,7.268588570275359,4.572724193880075,10.006337502897992,0.035512792279757975,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,margin_reflex_distance_1_r,mm,9,3.7073913182690714,0.32164763051935674,0.1355059687546637,0.4943780651006394,0.25238901960471277,0.21437894473807328,0.283344126242544,1.2744121397322101,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,margin_reflex_distance_2_r,mm,9,5.956759902837381,0.06872292594676184,0.027605678706596054,0.09199479218079437,0.21700512666702196,0.17591240000837524,0.25926200966841956,0.3166880294593777,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,medial_canthal_angle_r,deg,9,38.98736712903166,6.4639124113702895,2.3121422876264535,8.949534367952246,8.063671111976712,6.8953364947496425,9.242740132395864,0.8016091333102174,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,upper_vermilion_height,mm,9,7.812128285390514,0.1371892499645302,0.06799972345336264,0.1671122413464494,0.24754237592415743,0.19707602199847593,0.2975883304489001,0.5542051111546353,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,lower_vermilion_height,mm,9,11.099262135524901,0.12309383421384364,0.0628846955473228,0.1535730565223338,0.20855493719676935,0.1734410970234976,0.24493491977121723,0.5902225853215162,
ethnicity,east_asian,9,0.05681336842474609,0.04254467312793271,0.06357708659287532,cupids_bow_peak_height_l,mm,9,1.7818784642768182,0.3232674073045259,0.1645811155384586,0.45606831031261713,0.3494952391028804,0.2759720024276591,0.4143750513457424,0.9249551099303135,
