face_id,yaw,yaw_mirrored,pitch,pitch_mirrored,roll,roll_mirrored,yaw_antisymmetry_error,roll_antisymmetry_error,pitch_symmetry_error
034,0.7146791916818114,-0.8113355998650419,0.8669480673043436,1.0288047142525754,-0.9380183734132947,1.3600343111655206,-0.04832820409161526,0.21100796887611295,-0.08092832347411588
036,2.546880638188905,-2.836345549317927,2.09533512461207,2.188571475650975,0.9777247176578119,-1.2165506062803586,-0.14473245556451086,-0.11941294431127336,-0.046618175519452576
037,1.5299265155897137,-1.0668370218202046,3.204207158296943,3.607247870039521,-0.19448197933372327,-0.335634321875663,0.23154474688475457,-0.2650581506046931,-0.20152035587128903
038,-2.414423419945083,2.010230113780065,3.466050357535609,1.8819318404105452,-1.4817631164922513,2.2982542818810363,-0.20209665308250901,0.4082455826943925,0.792059258562532
039,-1.7387582688023842,1.1151100241095044,2.9261883635563932,2.8517967178809647,2.5534391138959984,-2.112218925353518,-0.31182412234643986,0.22061009427124012,0.037195822837714276
041,-0.03220491223072539,-2.5045612129783295,9.470943501267488,9.177984734934594,-1.541844662082857,1.2063111922191574,-1.2683830626045274,-0.1677667349318498,0.14647938316644726
042,1.5662900158440385,-2.3750887874018023,2.4633032418534557,2.0345825129355104,4.960264375276265,-4.89983598414187,-0.4043993857788819,0.03021419556719751,0.21436036445897266
043,-0.8869151648475238,0.8917032875382614,1.7655929081126007,1.8108180452064881,-0.8783131285572745,0.42409959901632927,0.0023940613453688475,-0.22710676477047262,-0.022612568546943712
044,1.7030910209565775,-1.9262111030260916,2.770077986773405,2.715194855471414,-0.5865128263406377,0.5694699568967221,-0.11156004103475703,-0.008521434721957821,0.027441565650995425
045,-3.642075431504239,3.267213305512783,-1.1052056094827512,-0.5809056145580275,0.7026432244254853,-0.7471400925991201,-0.1874310629957281,-0.02224843408681737,-0.26214999746236184
061,1.6045904083365907,-0.06435058057452886,3.904479346585082,5.337768503816047,0.9391626435426834,-1.4007866348484017,0.770119913881031,-0.23081199565285915,-0.7166445786154827
062,0.7218129507439195,-0.4353687174557627,-2.4135502229483787,-2.7749176026871822,2.0899926360206504,-1.1876438583306894,0.14322211664407838,0.4511743888449805,0.18068368986940175
063,-2.1011320342267066,1.0236361820415798,3.3454881271747756,3.218676914053615,-0.49591330184732757,-0.6182440709555187,-0.5387479260925634,-0.5570786864014231,0.06340560656058036
064,1.3965928986980138,-2.330444323109072,7.386111926938429,7.188613591992925,-1.1584958126042486,1.0175445070755746,-0.46692571220552903,-0.07047565276433698,0.09874916747275186
066,-0.21692007123192752,-0.00890240202988117,1.6785244313376284,1.4606594327824987,0.982771907289334,-0.36792692266295435,-0.11291123663090435,0.3074224923131898,0.10893249927756488
067,-3.8984679263418243,3.5075776942458754,1.0585200925669505,-0.0019842593750054624,-0.7358965873690742,-0.11689245776519325,-0.19544511604797443,-0.4263945225671337,0.530252175970978
068,3.584158842437116,-3.7995838626329643,1.7017980874910352,1.8016734891248989,2.954778468205009,-2.9198362876282817,-0.10771251009792415,0.01747109028836369,-0.04993770081693183
069,0.1309729994608803,-1.1427623651294183,4.53993453375368,4.207657783463608,-1.7267998882261613,2.1238148790169076,-0.505894682834269,0.19850749539537316,0.16613837514503604
070,-2.347896310212101,0.5008696713072297,4.369237861111307,3.217396467027649,-0.6811890666339464,0.5447317054140235,-0.9235133194524356,-0.06822868060996146,0.5759206970418289
081,1.2038743087893438,-1.5193590390049403,-0.8751798326363841,-1.7619398241237016,-2.115233386655021,1.982983421963826,-0.15774236510779827,-0.06612498234559738,0.4433799957436588
082,-2.9794068496916055,1.9135639405607552,1.617984836185809,2.6325427363250897,-3.6759467664851555,4.841918114414277,-0.5329214545654252,0.5829856739645607,-0.5072789500696404
