id,axis,pipeline_noise,slope_ortho,slope_persp1m,crossover_deg_ortho,crossover_deg_persp1m
ocular_height_asymmetry,roll,0.009074902904409153,2.1649348980190552e-16,2.0539125955565397e-16,41917671116636.41,44183491176995.125
mouth_corner_asymmetry,yaw,0.011987792219732873,0.0013594882432422129,0.07028956597249877,8.817871194783898,0.17054867324722378
mouth_corner_asymmetry,pitch,0.011987792219732873,0.0013388442631937169,0.0013766804090676542,8.953836192371513,8.707752460755586
mouth_corner_asymmetry,roll,0.011987792219732873,1.021405182655144e-15,1.404432126150823e-15,11736568820387.805,8535686414827.493
canthal_tilt_asymmetry,yaw,0.029138805579833654,0.06771264583297106,0.06822940741181652,0.43033033521849484,0.4270710634193074
canthal_tilt_asymmetry,pitch,0.029138805579833654,0.0018282845158945405,0.0018772919325042215,15.937785025530701,15.521723113657565
canthal_tilt_asymmetry,roll,0.029138805579833654,3.552713678800501e-16,0.002340500908437715,82018446219600.11,12.449815966652974
nasofrontal_angle,yaw,0.03730128040315548,0.07357055090356682,0.07354452833751565,0.5070137432034243,0.5071931419829067
nasofrontal_angle,pitch,0.03730128040315548,0.0,0.0,,
nasofrontal_angle,roll,0.03730128040315548,0.07414035084257904,0.0740778199032178,0.5031171282471627,0.5035418219905684
nasolabial_angle,yaw,0.16149520130420678,0.06993501170092883,0.06972149558533332,2.3092181923816266,2.316289975543483
nasolabial_angle,pitch,0.16149520130420678,2.1316282072803005e-15,2.1316282072803005e-15,75761430043307.17,75761430043307.17
nasolabial_angle,roll,0.16149520130420678,0.07001272473205375,0.069869579816082,2.3066549962491294,2.3113807429400794
facial_convexity_angle,yaw,0.014457651501211985,0.010299368651351415,0.010283173146294188,1.4037415292747044,1.4059523549325998
facial_convexity_angle,pitch,0.014457651501211985,0.0,0.0,,
facial_convexity_angle,roll,0.014457651501211985,0.010456192350039828,0.010470589154303411,1.3826879821273481,1.380786819934568
mentolabial_angle,yaw,0.06573016225517636,0.0559284119999063,0.07219921788029851,1.1752552934148475,0.9103999210095681
mentolabial_angle,pitch,0.06573016225517636,4.973799150320701e-15,4.973799150320701e-15,13215282778545.291,13215282778545.291
mentolabial_angle,roll,0.06573016225517636,0.055911273070560694,0.05556659905984489,1.175615553811914,1.182907778544902
mentocervical_angle,yaw,0.008081907975690035,0.0010099008501995854,0.12116255654479602,8.002674692364916,0.0667030162301173
mentocervical_angle,pitch,0.008081907975690035,2.1316282072803005e-15,2.1316282072803005e-15,3791424765391.6963,3791424765391.6963
mentocervical_angle,roll,0.008081907975690035,0.0009482965704378898,0.024586178895479805,8.522553205014857,0.32871752906572654
submental_cervical_angle,yaw,0.023458634269170175,0.0245298321320206,0.10337062406748956,0.9563308115161493,0.22693714467520565
submental_cervical_angle,pitch,0.023458634269170175,2.1316282072803005e-15,2.1316282072803005e-15,11005030890964.12,11005030890964.12
submental_cervical_angle,roll,0.023458634269170175,0.02489481025127276,0.05044059263544511,0.9423102258018151,0.4650745172388311
gonial_angle_l,yaw,0.010938124015194221,0.4472000192136548,0.5760292293732121,0.024459131362354457,0.018988835040708252
