condition,id,axis,angle_deg,value,deviation
3d,nose_breadth,roll,15.0,34.0,0.0
3d,nose_breadth,roll,17.5,34.0,0.0
3d,nose_breadth,roll,20.0,34.0,0.0
3d,nose_breadth,roll,22.5,34.0,0.0
3d,nose_breadth,roll,25.0,34.0,0.0
3d,nose_breadth,roll,27.5,34.0,0.0
3d,nose_breadth,roll,30.0,34.0,0.0
3d,mouth_width,yaw,-30.0,52.00615348206402,0.0
3d,mouth_width,yaw,-27.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,-25.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,-22.5,52.00615348206402,0.0
3d,mouth_width,yaw,-20.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,-17.5,52.00615348206402,0.0
3d,mouth_width,yaw,-15.0,52.00615348206402,0.0
3d,mouth_width,yaw,-12.5,52.00615348206402,0.0
3d,mouth_width,yaw,-10.0,52.00615348206402,0.0
3d,mouth_width,yaw,-7.5,52.00615348206402,0.0
3d,mouth_width,yaw,-5.0,52.00615348206402,0.0
3d,mouth_width,yaw,-2.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,0.0,52.00615348206402,0.0
3d,mouth_width,yaw,2.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,5.0,52.00615348206402,0.0
3d,mouth_width,yaw,7.5,52.00615348206402,0.0
3d,mouth_width,yaw,10.0,52.00615348206402,0.0
3d,mouth_width,yaw,12.5,52.00615348206402,0.0
3d,mouth_width,yaw,15.0,52.00615348206402,0.0
3d,mouth_width,yaw,17.5,52.00615348206402,0.0
3d,mouth_width,yaw,20.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,22.5,52.00615348206402,0.0
3d,mouth_width,yaw,25.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,27.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,yaw,30.0,52.00615348206402,0.0
3d,mouth_width,pitch,-30.0,52.00615348206402,0.0
3d,mouth_width,pitch,-27.5,52.00615348206402,0.0
3d,mouth_width,pitch,-25.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,-22.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,-20.0,52.00615348206402,0.0
3d,mouth_width,pitch,-17.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,-15.0,52.00615348206402,0.0
3d,mouth_width,pitch,-12.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,-10.0,52.00615348206402,0.0
3d,mouth_width,pitch,-7.5,52.00615348206402,0.0
3d,mouth_width,pitch,-5.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,-2.5,52.00615348206402,0.0
3d,mouth_width,pitch,0.0,52.00615348206402,0.0
3d,mouth_width,pitch,2.5,52.00615348206402,0.0
3d,mouth_width,pitch,5.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,7.5,52.00615348206402,0.0
3d,mouth_width,pitch,10.0,52.00615348206402,0.0
3d,mouth_width,pitch,12.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,15.0,52.00615348206402,0.0
3d,mouth_width,pitch,17.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,20.0,52.00615348206402,0.0
3d,mouth_width,pitch,22.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,25.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,pitch,27.5,52.00615348206402,0.0
3d,mouth_width,pitch,30.0,52.00615348206402,0.0
3d,mouth_width,roll,-30.0,52.00615348206402,0.0
3d,mouth_width,roll,-27.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,-25.0,52.006153482064015,-1.3662666592043834e-16
3d,mouth_width,roll,-22.5,52.006153482064015,-1.3662666592043834e-16
3d,mouth_width,roll,-20.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,-17.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,-15.0,52.006153482064015,-1.3662666592043834e-16
3d,mouth_width,roll,-12.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,-10.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,-7.5,52.00615348206402,0.0
3d,mouth_width,roll,-5.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,-2.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,0.0,52.00615348206402,0.0
3d,mouth_width,roll,2.5,52.00615348206402,0.0
3d,mouth_width,roll,5.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,7.5,52.00615348206402,0.0
3d,mouth_width,roll,10.0,52.006153482064015,-1.3662666592043834e-16
3d,mouth_width,roll,12.5,52.00615348206402,0.0
3d,mouth_width,roll,15.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,17.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,20.0,52.00615348206402,0.0
3d,mouth_width,roll,22.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,25.0,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,27.5,52.00615348206403,1.3662666592043834e-16
3d,mouth_width,roll,30.0,52.006153482064015,-1.3662666592043834e-16
3d,philtrum_width,yaw,-30.0,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,yaw,-27.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,yaw,-25.0,11.0,0.0
3d,philtrum_width,yaw,-22.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,-20.0,11.0,0.0
3d,philtrum_width,yaw,-17.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,-15.0,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,-12.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,-10.0,11.0,0.0
